Consecutivo de la fila;Nombre de la serie;Consecutivo de la  subserie;Nombre de la subserie;Fecha de inicio;Fecha de finalización;Años en archivo de gestión;Años en archivo central;Disposición final;Soporte;Procedimiento;
147;NOTAS CONTABLES;3;Notas de estilo;2018-11-29;2050-12-26;2;0;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión. Cumplido el tiempo de retención eliminar por ser documentos que se utilizan en actividades tales como: Estudiantes buena nota, eventos fúnebres, condecoraciones entre otras. La relación de los estudiantes a los que se les concede la beca de rendimiento académico está definida por Resolución Rectoral.  ;147
148;NÓMINAS;1;Nominas;2018-11-29;2050-12-26;2;88;SELECCION;PAPEL;Se transfieren  al Archivo Central 2 años después de desvinculado el funcionario de la entidad, se transfieren al Archivo Central para ser conservadas por 88 años, cumplido el tiempo de retención seleccionar el 5% aquellas historias laborales que aportes valores secundarios para la entidad, como la representatividad o el impacto que haya generado algún funcionario para la universidad  o el municipio.;148
149;NÓMINAS;2;Nominas docentes hora cátedra;2018-11-29;2050-12-26;2;88;SELECCION;PAPEL;Se transfieren  al Archivo Central 2 años después de desvinculado el funcionario de la entidad, se transfieren al Archivo Central para ser conservadas por 88 años, cumplido el tiempo de retención seleccionar el 5% aquellas historias laborales que aportes valores secundarios para la entidad, como la representatividad o el impacto que haya generado algún funcionario para la universidad  o el municipio.;149
150;NORMOGRAMAS;1;Normagramas;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central- son documentos de conservación total porque evidencian históricamente las normas que regulan las actuaciones den la universidad en el desarrollo con su objeto misional. ;150
151;PLANES;1;Planes anticorrupción y atención al ciudadano ;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central, esta serie es de conservación total por ser documentos que hacen parte de la memoria institucional, en este documento se registran las estrategias de lucha contra la corrupción y atención al ciudadano que adopta la Universidad (Art. 73 ley 1474 de 2011). Su conservación total se regula en la Circular 003 de 2015 AGN;151
152;PLANES;2;Plan anual de adquisiciones;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8  años en el Archivo Central,  esta serie es de conservación total por ser documentos que hacen parte de la memoria institucional. Evidencia la proyección de la universidad en cuanto a la adquisición de elementos, bienes o servicios y la ejecución de la misma. ;152
153;PLANES;3;Planes anuales de caja pac;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 3 años en el Archivo de Gestión y 7 años en el Archivo Central, cumplido el tiempo de retención transferir al Archivo Histórico para su conservación total. ;153
154;PLANES;4;Planes de acción institucional;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central, esta serie es de conservación total por ser documentos que hacen parte de la memoria institucional, en este documento se refleja la programación anual de las metas establecidas por cada dependencia y así cumplir con el Plan de Desarrollo. Su conservación total se regula en la Circular 003 de 2015 AGN;154
155;PLANES;5;Planes de acción por la dependencia;2018-11-29;2050-12-26;2;0;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión, cumplido el tiempo de retención  eliminar, teniendo en cuenta que la información se encuentra consolidada en la subserie Planes de Mejoramiento Institucional, que reposa en la Oficina de Control Interno.;155
156;PLANES;6;Planes de desarrollo institucional ;2018-11-29;2050-12-26;11;9;CONSERVACION TOTAL;PAPEL;Se conservan 11 años en el Archivo de Gestión y 9 años en el Archivo Central, esta serie es de conservación total por ser documentos que hacen parte de la memoria institucional, en este documentos se establecen las directrices para la ejecución de las actividades académico-administrativas de la UCEVA por un periodo de 10 años ;156
157;PLANES;7;Planes de mejoramiento auditorías internas;2018-11-29;2050-12-26;2;0;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión, cumplido el tiempo de retención  eliminar, teniendo en cuenta que la información se encuentra consolidada en la subserie Informes de Evaluación al Sistema de Control Interno, que reposa en la Oficina de Control Interno.;157
158;PLANES;8;Planes de mejoramiento institucional;2018-11-29;2050-12-26;2;0;ELIMINACION;PAPEL;Se conservan 3 años en el Archivo de Gestión, cumplido el tiempo de retención  eliminar, teniendo en cuenta que la información se encuentra consolidada en la subserie Planes de Mejoramiento Institucional, que reposa en la Oficina de Control Interno.;158
159;PLANES;9;Planes de seguridad y privacidad de la información;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Son documentos que evidencian el cumplimiento del Decreto 612 de 2018.;159
160;PLANES;17;Planes institucionales de capacitación - pic;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Son documentos que evidencian el cumplimiento del Decreto 612 de 2018.;160
161;PLANES;18;Planes de previsión de recursos humanos;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Son documentos que evidencian el cumplimiento del Decreto 612 de 2018.;161
162;PLANES;19;Planes anuales de vacantes;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Son documentos que evidencian el cumplimiento del Decreto 612 de 2018.;162
163;PLANES;13;Planes de incentivos institucionales;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Son documentos que evidencian el cumplimiento del Decreto 612 de 2018.;163
164;PROGRAMAS;1;Programas de capacitación clima organizacional y riesgo psicosocial;2018-11-29;2050-12-26;2;8;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Centra. Cumplido el tiempo de retención en el Archivo de Gestión eliminar por ser documentos que pierden sus valores primarios, son soportes para el Registro Calificado que se debe renovar cada 7 años.;164
165;PLANES;10;Planes de trabajo anual del sistema de gestión de seguridad y salud en el trabajo;2018-11-29;2050-12-26;2;18;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 18 años en el Archivo Central Artículo2.2.4.6.13.Decreto 1072 de 2015 establece que el empleador debe conservar los registros y documentos que soportan el Sistema de Gestión de la Seguridad y Salud en el Trabajo, por un periodo mínimo de 20 años. Cumplido el tiempo de retención en el Archivo Central eliminar.;165
166;PROGRAMAS;2;Programas de contenido programático ;2018-11-29;2050-12-26;2;18;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 18 años en el Archivo Central. Son de conservación total porque constituyen la memoria de la universidad.  Son documentos consultados por las facultades cuando requieren expedir constancias del pensum académico cursado por los estudiantes.;166
167;PLANES;11;Planes de tratamiento de riesgos de seguridad y privacidad de la información;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Son documentos que evidencian el cumplimiento del Decreto 612 de 2018.;167
168;PLANES;12;Planes estratégicos de talento humano;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conserva 2 años en el Archivo de Gestión y 8 en el Archivo Central, cumplido el tiempo de retención transferir al Archivo Histórico para su conservación total. Son documentos que evidencian el cumplimiento de lo señalado en el Decreto 612 del 4 de abril de 2018.  ;168
169;PLANES;13;Planes estratégicos de tecnologías de la información y las comunicaciones - peti;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Son documentos que evidencian el cumplimiento del Decreto 612 de 2018.;169
170;PRESUPUESTOS;2;Ejecuciones presupuestales;2018-11-29;2050-12-26;2;8;C.TOTAL / M.TECNOLOGICO;PAPEL / ELECTRONICO;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Son documentos que tienen valor administrativo, legal, jurídico, fiscal y contable. Podrán ser eliminados, siempre que por cualquier medio técnico adecuado garantice su reproducción exacta (Ley 962 de 2005 Articulo 28).;170
171;PRESUPUESTOS;1;Presupuestos anuales institucionales;2018-11-29;2050-12-26;2;8;C.TOTAL / M.TECNOLOGICO;PAPEL / ELECTRONICO;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Son documentos que tienen valor administrativo, legal, jurídico, fiscal y contable. Podrán ser eliminados, siempre que por cualquier medio técnico adecuado garantice su reproducción exacta (Ley 962 de 2005 Articulo 28).;171
172;PLANES;14;Planes indicativos;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central, esta serie es de conservación total por ser documentos que hacen parte de la memoria institucional.;172
173;PLANES;15;Planes operativos;2018-11-29;2050-12-26;2;5;ELIMINACION;PAPEL;Se conserva 2 años en Archivo de Gestión, cumplido el tiempo de retención se transfiere al Archivo Central Una vez cumplan el tiempo en el Archivo Central que corresponde a 5 años se eliminan.;173
174;PLANES;16;Planes operativos anuales de inversiones poai para la vigencia;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central,  esta serie es de conservación total por ser documentos que hacen parte de la memoria institucional, este documento contiene los proyectos de inversión que se financiarán con recursos propios. Ley 1510 del 14 de enero de 2012, Ley 1607 del 26 de diciembre de 2012, Decreto Reglamentario 1835 del 28 de agosto de 2013. ;174
175;PLANES DE TRANSFERENCIAS DOCUMENTALES;1;Planes de transferencias documentales primarias;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Es un instrumento archivístico que regula el procedimiento técnico y metodológico para realizar las transferencias documentales. Su conservación total se regula en la Circular 003 de 2015 AGN.;175
176;PROCESOS ADMINISTRATIVOS;1;Procesos administrativos;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Se transfiere al Archivo Central 2 años después de emitido del fallo y conservar en el Archivo Central 18 años. Cumplido el tiempo de retención seleccionar para la conservación total los fallos por cada proceso, son documentos que aportan valores secundarios a la universidad y sirven como antecedente judicial.  ;176
177;PROCESOS;1;Procesos de autoevaluación institucional;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conervan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Cumplido el tiempo transferir arl Archivo Histórico para su conservación Total. Resolución Rectoral 781 de 2005 – Decreto 1280 MEN de julio de 2018 ;177
178;PRESUPUESTOS;1;Reservas presupuestales;2018-11-29;2050-12-26;2;8;C.TOTAL / M.TECNOLOGICO;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Son documentos que tienen valor administrativo, legal, jurídico, fiscal y contable. Podrán ser eliminados, siempre que por cualquier medio técnico adecuado garantice su reproducción exacta (Ley 962 de 2005 Articulo 28).;178
179;RESOLUCIONES;1;Resoluciones oficina educación virtual y a distancia;2018-11-29;2050-12-26;2;18;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 18 años en el Archivo Central. Esta serie refleja las actuaciones administrativas y las decisiones tomadas dentro de la UCEVA. Su conservación total se regula en la Circular 003 de 2015 AGN.;179
180;PROCESOS;2;Procesos de conciliación;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Cental. Son documentos de conservación total dando cumplimiento al Decreto 1829 de 2013 art. 42 Traslado y Remisión de Información. ;180
181;PROCESOS INSTITUCIONALES;1;Procesos de conformación comisión de personal;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central, cumplido el tiempo de retención transferir al Archivo Histórico para su conservación total. Son documentos que evidencian el cumplimiento de lo señalado en la Ley 909 de 2004, art. 16.;181
182;PROCESOS INSTITUCIONALES;2;Procesos disciplinarios;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;"Transferir al Archivo Central dos años después de emitirse el fallo. Dando cumplimiento a la Ley 734 de 2002 artículo 30; son documentos que prescriben a los 5 años pero como sus soportes aportan un valor probatorio y son objeto de consulta por otras entidades sobre la verificación de antecedentes se amplía el tiempo de retención y se conservan 18 años en el Archivo Central. Realizar una selección cualitativa del 10% de los procesos que aporten valores para la historia y la investigación en la universidad, ";182
183;PROCESOS JUDICIALES;1;Procesos judiciales administrativos;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Se transfiere al Archivo Central 2 años después de emitido del fallo y conservar en el Archivo Central 18 años. Cumplido el tiempo de retención seleccionar para la conservación total los fallos por cada proceso, son documentos que aportan valores secundarios a la universidad y sirven como antecedente judicial.  ;183
184;PROCESOS JUDICIALES;2;Procesos judiciales ordinarios;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Se transfiere al Archivo Central 2 años después de emitido del fallo y conservar en el Archivo Central 18 años. Cumplido el tiempo de retención seleccionar para la conservación total los fallos por cada proceso, son documentos que aportan valores secundarios a la universidad y sirven como antecedente judicial.  ;184
185;PROGRAMAS;1;Programas de apoyo al mejoramiento académico amaca;2018-11-29;2050-12-26;2;8;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Centra. Cumplido el tiempo de retención en el Archivo de Gestión eliminar por ser documentos que pierden sus valores primarios, son soportes para el Registro Calificado que se debe renovar cada 7 años. Los resultados de las pruebas proyectivas no se transfieren se eliminan en el Archivo de Gestión mediante picado. ;185
186;PROGRAMAS;2;Programas de auditoría al sistema de gestión de calidad;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años  en el Archivo Central Esta subserie es de conservación total, porque refleja las actuaciones administrativas de la UCEVA, son documentos que registran los resultados de la Auditoría realizada al Sistema de Gestión de Calidad. Su conservación total se regula en la Circular 003 de 2015 AGN.;186
187;PROGRAMAS;3;Programas de bienestar social;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivos Central, son documentos de conservación total porque evidencian el cumplimiento del Programa de Bienestar Social de la entidad. ;187
188;PROGRAMAS;4;Programas de contenidos programáticos;2018-11-29;2050-12-26;2;18;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 18 años en el Archivo Central. Son de conservación total porque constituyen la memoria de la universidad.  Son documentos consultados por las facultades cuando requieren expedir constancias del pensum académico cursado por los estudiantes.;188
189;PROGRAMAS;5;Programas de extensión y proyección social;2018-11-29;2050-12-26;2;8;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Centra. Cumplido el tiempo de retención eliminar por ser documentos que pierden sus valores primarios, son soportes para el Registro Calificado que se debe renovar cada 7 años.;189
190;PROGRAMAS;6;Programas de gestión ambiental;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años  en el Archivo Central. Esta subserie  define los compromisos, acciones y estrategias que adopta la UCEVA en el marco del Sistema de Gestión Ambiental. Su conservación total se regula en la Circular 003 de 2015 AGN;190
191;PROGRAMAS;7;Programas de mantenimiento institucional;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Son documentos de conservación total porque evidencian el cumplimiento del mantenimiento en todas las instalaciones dela universidad. ;191
192;PROGRAMAS;8;Programas de movilidad académica;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestiòn y 8 años en el Archivo Central. Son documentos de conseración total porque evidencian las realciones de la UCEVA con otras entidades, convirtiendose en la memoría histórica de la entidad. ;192
193;PROGRAMAS;9;Programas promoción de la salud y prevención de la enfermedad;2018-11-29;2050-12-26;2;8;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Centra. Cumplido el tiempo de retención eliminar por ser documentos que pierden sus valores primarios, son soportes para el Registro Calificado que se debe renovar cada 7 años.;193
194;PROYECTOS;1;Proyectos apoyo y acompañamiento al estudiante para el mejoramiento a académico ;2018-11-29;2050-12-26;2;8;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Centra. Cumplido el tiempo de retención eliminar por ser documentos que pierden sus valores primarios, son soportes para el Registro Calificado que se debe renovar cada 7 años.;194
195;PROYECTOS;2;Proyectos de investigación;2018-11-29;2050-12-26;2;0;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión, cumplido el tiempo de retención eliminar porque los proyectos que se aprueban en el Comité Central de Investigación se trasladan a la Vicerrectoría de Investigaciones. ;195
196;PROYECTOS;3;Proyectos educativos del programa;2018-11-29;2050-12-26;3;17;CONSERVACION TOTAL;PAPEL;Se conservan 3 años en el Archivo de Gestión y 17 años en el Archivo Central. Son de conservación total porque constituyen la memoria de la universidad. ;196
197;PROYECTOS;4;Proyectos educativos institucionales pei;2018-11-29;2050-12-26;11;9;CONSERVACION TOTAL;PAPEL;Se conserva 11 años en el Archivo de Gestión y 9 años en el Archivo Central. Esta serie adquiere valores históricos por ser documentos que contienen  información sobre el desarrollo, estructura, procedimientos y políticas de la universidad, convirtiéndose en testimonio de su actividad y trascendencia.;197
198;PROYECTOS;5;Proyectos apoyo mejoramiento amaca;2018-11-29;2050-12-26;2;8;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Centra. Cumplido el tiempo de retención eliminar por ser documentos que pierden sus valores primarios, son soportes para el Registro Calificado que se debe renovar cada 7 años.;198
199;PROYECTOS;6;Proyectos fortalecimiento de bienestar social para la familia uceva  ;2018-11-29;2050-12-26;2;8;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Centra. Cumplido el tiempo de retención eliminar por ser documentos que pierden sus valores primarios, son soportes para el Registro Calificado que se debe renovar cada 7 años.;199
200;PROYECTOS;7;Proyectos fortalecimiento de bienestar universitario y la identidad institucional a través del arte y la cultura;2018-11-29;2050-12-26;2;8;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Centra. Cumplido el tiempo de retención eliminar por ser documentos que pierden sus valores primarios, son soportes para el Registro Calificado que se debe renovar cada 7 años.. ;200
201;PROYECTOS;8;Proyectos fortalecimiento de las prácticas deportivas;2018-11-29;2050-12-26;2;8;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Centra. Cumplido el tiempo de retención eliminar por ser documentos que pierden sus valores primarios, son soportes para el Registro Calificado que se debe renovar cada 7 años.;201
202;PROYECTOS;9;Proyectos salud y bienestar;2018-11-29;2050-12-26;2;8;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Centra. Cumplido el tiempo de retención eliminar por ser documentos que pierden sus valores primarios, son soportes para el Registro Calificado que se debe renovar cada 7 años.;202
203;PUBLICACIONES;1;Canjes interinstitucionales de publicaciones;2018-11-29;2050-12-26;2;0;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión, cumplido el tiempo de retención eliminar porque los documentos pierden valor administrativo una vez se ha realizado el intercambio de las publicaciones de interés académica con otras universidades. ;203
204;PUBLICACIONES;2;Colecciones cantarrana;2018-11-29;2050-12-26;2;18;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 18 años en el Archivo Central. Son documentos de conservación total porque constituyen la memoria institucional de la UCEVA. ;204
205;PUBLICACIONES;3;Depósitos legales de publicaciones;2018-11-29;2050-12-26;2;0;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión, cumplido el tiempo de retención en el archivo de gestión eliminar únicamente las cartas de remisión, las publicaciones son documentos de conservación permanente en gestión porque hacen parte integral del inventario físico de las publicaciones producidas por la institución. ;205
206;PUBLICACIONES;4;Periódicos institucionales;2018-11-29;2050-12-26;2;18;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 18 años en el Archivo Central. Son documentos de conservación total porque constituyen la memoria institucional de la UCEVA. ;206
207;PUBLICACIONES;5;Producciones derivadas de la investigación;2018-11-29;2050-12-26;2;18;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 18 años en el Archivo Central. Son documentos de conservación total porque constituyen la memoria institucional de la UCEVA. ;207
208;PUBLICACIONES;6;Revistas institucionales;2018-11-29;2050-12-26;2;18;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 18 años en el Archivo Central. Son documentos de conservación total porque constituyen la memoria institucional de la UCEVA. ;208
209;PUBLICACIONES;7;Textos académicos;2018-11-29;2050-12-26;2;18;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 18 años en el Archivo Central. Son documentos de conservación total porque constituyen la memoria institucional de la UCEVA. ;209
210;REGISTROS;1;Registros actividades culturales;2018-11-29;2050-12-26;2;8;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Centra. Cumplido el tiempo de retención en el Archivo de Gestión eliminar por ser documentos que pierden sus valores primarios, son soportes para el Registro Calificado que se debe renovar cada 7 años.;210
211;REGISTROS;2;Registros afiliación y pago a la arl;2018-11-29;2050-12-26;2;1;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión, cumplido el tiempo en el archivo de gestión eliminar, son documentos que pierden valores primarios, ya que esta trámite  corresponde a la afiliación de la ARL de los estudiantes que realizan las monitorias en la UCEVA, por un periodo de 4 meses. ;211
212;REGISTROS;3;Registros asistencia estudiantes de selección;2018-11-29;2050-12-26;2;8;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Centra. Cumplido el tiempo de retención en el Archivo de Gestión eliminar por ser documentos que pierden sus valores primarios, son soportes para el Registro Calificado que se debe renovar cada 7 años.;212
213;REGISTROS;4;Registros de eventos egresados encuentros nacionales e internacionales;2018-11-29;2050-12-26;2;8;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central, cumplido el tiempo de retención eliminar por ser documentos que pierden sus valores primarios y no adquieren valores secundarios. ;213
214;REGISTROS;5;Registros de eventos institucionales de internacionalización;2018-11-29;2050-12-26;2;8;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Cumplido  el tiempo de retención eiminar por ser documentos que pierden sus valores primarios y no adquieren valores secundarios.;214
215;REGISTROS;6;Registros de ingreso y salida funcionarios;2018-11-29;2050-12-26;2;3;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 3 años en el Archivo Central. Cumplido el tiempo de retención eliminar por ser documentos que pierden sus valores primarios y no adquieren valores secundarios. ;215
216;REGISTROS;7;Registros de permisos;2018-11-29;2050-12-26;2;3;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 3 años en el Archivo Central. Cumplido el tiempo de retención eliminar por ser documentos que pierden sus valores primarios y no adquieren valores secundarios. ;216
217;REGISTROS;8;Registros de prácticas e investigaciones de laboratorio;2018-11-29;2050-12-26;2;0;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión, cumplido el tiempo de retención eliminar por ser documentos que pierden sus valores administrativos, son documentos que controlan la ejecución de las practicas e investigaciones en el laboratorio ;217
218;REGISTROS;9;Registros fotográficos;2018-11-29;2050-12-26;2;18;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 18 años en el Archivo Central. Son documentos de conservación total porque constituyen la memoria institucional de la UCEVA. ;218
219;REGISTROS;10;Registros calificados;2018-11-29;2050-12-26;8;0;ELIMINACION;PAPEL;Conservar en el Archivo de Gestión 8 años, cumplido el tiempo de retención  eliminar  por tratarse de documentos que debe actualizar la universidad cada 7 años para  acreditar ante el Ministerio de Educación Nacional, que los programas ofertados por la universidad cumplen con las condiciones de calidad, según lo establecido en la Ley 1188 de 2008, el Decreto 1295 de 2010. La información se conserva en medio digital. ;219
220;REPORTES;1;Reportes de accidentes e incidentes de trabajo;2018-11-29;2050-12-26;2;18;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 18 años en el Archivo Central Artículo2.2.4.6.13.Decreto 1072 de 2015 establece que el empleador debe conservar los registros y documentos que soportan el Sistema de Gestión de la Seguridad y Salud en el Trabajo, por un periodo mínimo de 20 años. Cumplido el tiempo de retención en el Archivo Central eliminar.;220
221;REPORTES;2;Reportes de asistencia;2018-11-29;2050-12-26;2;0;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión, cumplido el tiempo de retención eliminar por ser documentos que pierden valores primarios, permiten el control del pago de la nómina.   ;221
222;REPORTES;3;Reportes de novedades de nómina;2018-11-29;2050-12-26;2;1;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión, transcurrido el tiempo en el Archivo de Gestión eliminar, teniendo en cuenta que los documentos originales se encuentran consolidados en la oficina de Gestión Humana, en la serie Nóminas.  ;222
223;REPORTES;4;Reportes de pago de seguridad social;2018-11-29;2050-12-26;2;8;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 88 en el Archivo Central, son documentos los que soportan y validan el cumplimiento de las obligaciones contractuales que tiene la universidad con sus funcionarios. cumplidos el tiempo de retención se aplica una selección cualitativa o cuantitativa, se seleccionará una muestra aleatoria del 5% anual para su conservación total;223
224;REPORTES;5;Reportes de prácticas académicas;2018-11-29;2050-12-26;2;0;ELIMINACION;PAPEL;Se conservan 2 años  en el Archivo de Gestión, transcurrido el tiempo de retenciónminar, son documentos que pierden valores administrativos una vez los estudiantes terminan sus prácticas.;224
225;REPORTES;6;Reportes de seguridad y salud en el trabajo;2018-11-29;2050-12-26;2;0;ELIMINACION;PAPEL;Se conservan 2 años  en el Archivo de Gestión, transcurrido el tiempo de retenciónminar, son documentos que pierden valores administrativos una vez los estudiantes terminan sus prácticas.;225
226;RESOLUCIONES;1;Resoluciones académicas;2018-11-29;2050-12-26;2;18;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 18 años en el Archivo Central. Esta serie refleja las actuaciones administrativas y las decisiones tomadas dentro de la UCEVA. Su conservación total se regula en la Circular 003 de 2015 AGN.;226
227;RESOLUCIONES;2;Resoluciones consejo de facultad;2018-11-29;2050-12-26;2;18;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 18 años en el Archivo Central. Esta serie refleja las actuaciones administrativas y las decisiones tomadas dentro de la UCEVA. Su conservación total se regula en la Circular 003 de 2015 AGN.;227
228;RESOLUCIONES;3;Resoluciones de facultad;2018-11-29;2050-12-26;2;18;CONSERVACION TOTAL;PAPEL;Se conservan 3 años en el Archivo de Gestión y 17 años en el Archivo Central. Esta serie refleja las actuaciones administrativas y las decisiones tomadas dentro de la UCEVA. Su conservación total se regula en la Circular 003 de 2015 AGN.;228
229;RESOLUCIONES;4;Resoluciones de secretaría general;2018-11-29;2050-12-26;2;18;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 18 años en el Archivo Central. Esta serie refleja el cumplimiento de las funciones establecidas en el Reglamento Académico Acuerdo Consejo Académico 022 de 2016 art. 154. Su conservación total se regula en la Circular 003 de 2015 AGN. ;229
